Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 15.44      3.15     3.15 260261481     0.01     0.01  b2Vec2::b2Vec2(float, float)
  0.98     13.77     0.20                             b2Vec2::operator-=(b2Vec2 const&)
  0.93     13.96     0.19                             b2DistanceProxy::GetSupport(b2Vec2 const&) const
  0.88     14.13     0.18                             b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.86     14.31     0.17                             b2EdgeSeparation(b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&)
  0.83     14.48     0.17                             b2Vec2::operator+=(b2Vec2 const&)
  0.83     14.65     0.17                             b2World::Solve(b2TimeStep const&)
  0.83     14.82     0.17                             b2Body::IsAwake() const
  0.81     14.98     0.17                             b2TestOverlap(b2AABB const&, b2AABB const&)
  0.78     15.14     0.16 57057044     0.00     0.00  b2Fixture::GetBody()
  0.78     15.30     0.16                             void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  0.76     15.46     0.15                             b2Vec2::operator-() const
  0.73     15.61     0.15                             b2Fixture::IsSensor() const
  0.71     15.76     0.14 26798723     0.01     0.01  b2Contact::GetFixtureB()
  0.69     15.89     0.14                             b2ContactSolver::InitializeVelocityConstraints()
  0.64     16.02     0.13                             b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.59     16.14     0.12 26798723     0.00     0.00  b2Contact::GetFixtureA()
  0.59     16.27     0.12                             b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&)
  0.59     16.39     0.12                             b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&)
  0.54     16.50     0.11                             b2MulT(b2Rot const&, b2Vec2 const&)
  0.51     16.60     0.10                             b2Rot::b2Rot(float)
  0.49     16.70     0.10  3667157     0.03     0.05  b2Vec2::Length() const
  0.49     16.80     0.10                             b2ContactSolver::SolvePositionConstraints()
  0.49     16.90     0.10                             b2AABB::Combine(b2AABB const&, b2AABB const&)
  0.47     17.00     0.10                             b2DynamicTree::InsertLeaf(int)
  0.44     17.09     0.09  3714080     0.02     0.02  std::sqrt(float)
  0.44     17.18     0.09                             b2Transform::b2Transform()
  0.44     17.27     0.09                             b2ContactSolver::b2ContactSolver(b2ContactSolverDef*)
  0.44     17.36     0.09                             b2GrowableStack<int, 256>::Push(int const&)
  0.42     17.44     0.09                             float b2Clamp<float>(float, float, float)
  0.42     17.52     0.09                             b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int)
  0.39     17.61     0.08                             b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*)
  0.39     17.68     0.08                             b2ContactSolver::SolveTOIPositionConstraints(int, int)
  0.39     17.77     0.08                             b2AABB::GetPerimeter() const
  0.34     17.84     0.07                             b2ContactListener::~b2ContactListener()
  0.34     17.91     0.07                             b2Island::SolveTOI(b2TimeStep const&, int, int)
  0.34     17.98     0.07                             b2Contact::Update(b2ContactListener*)
  0.34     18.05     0.07                             b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
  0.32     18.11     0.07                             b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.32     18.18     0.07                             b2GrowableStack<int, 256>::Pop()
  0.29     18.23     0.06  4594226     0.01     0.01  b2Fixture::GetShape()
  0.29     18.30     0.06                             b2DynamicTree::Balance(int)
  0.29     18.36     0.06                             b2BroadPhase::TestOverlap(int, int) const
  0.29     18.41     0.06                             b2DistanceProxy::GetVertex(int) const
  0.29     18.48     0.06                             b2Body::IsBullet() const
  0.24     18.52     0.05  4752617     0.01     0.02  b2AABB::b2AABB()
  0.24     18.57     0.05                             b2DynamicTree::RemoveLeaf(int)
  0.24     18.62     0.05                             b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float)
  0.24     18.68     0.05                             b2Sweep::Normalize()
  0.24     18.73     0.05                             b2Timer::Reset()
  0.24     18.77     0.05                             b2TreeNode::IsLeaf() const
  0.24     18.82     0.05                             b2Mat22::Solve(b2Vec2 const&) const
  0.22     18.87     0.04                             b2Cross(b2Vec2 const&, float)
  0.22     18.91     0.04                             b2DistanceProxy::b2DistanceProxy()
  0.20     18.95     0.04  2102964     0.02     0.02  b2Vec2::SetZero()
  0.20     19.00     0.04                             b2BroadPhase::QueryCallback(int)
  0.20     19.04     0.04                             b2ContactSolver::WarmStart()
  0.20     19.07     0.04                             b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float)
  0.20     19.11     0.04                             b2ContactManager::Collide()
  0.20     19.16     0.04                             b2StackAllocator::Allocate(int)
  0.20     19.20     0.04                             b2Vec2::Normalize()
  0.20     19.23     0.04                             b2SeparationFunction::FindMinSeparation(int*, int*, float) const
  0.20     19.27     0.04                             b2Vec2::LengthSquared() const
  0.20     19.32     0.04                             b2Simplex::WriteCache(b2SimplexCache*) const
  0.20     19.36     0.04                             b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const
  0.17     19.39     0.04                             b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&)
  0.17     19.43     0.04                             b2Simplex::GetSearchDirection() const
  0.15     19.45     0.03  2234790     0.01     0.01  b2Body::GetTransform() const
  0.15     19.48     0.03   448284     0.07     0.08  b2WorldManifold::b2WorldManifold()
  0.15     19.52     0.03                             int b2Max<int>(int, int)
  0.15     19.55     0.03                             b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&)
  0.15     19.57     0.03                             b2DistanceProxy::Set(b2Shape const*, int)
  0.15     19.61     0.03                             b2SimplexVertex::b2SimplexVertex()
  0.15     19.64     0.03                             b2SeparationFunction::b2SeparationFunction()
  0.15     19.66     0.03                             cs296::base_sim_t::mouse_move(b2Vec2 const&)
  0.15     19.70     0.03                             b2Sweep::b2Sweep()
  0.12     19.72     0.03                             b2PairLessThan(b2Pair const&, b2Pair const&)
  0.12     19.75     0.03                             b2GrowableStack<int, 256>::GetCount()
  0.12     19.77     0.03                             b2Body::SynchronizeFixtures()
  0.10     19.79     0.02   649023     0.03     0.03  b2Vec2::operator*=(float)
  0.10     19.81     0.02                             b2MulT(b2Transform const&, b2Vec2 const&)
  0.10     19.83     0.02                             void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*)
  0.10     19.85     0.02                             b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.10     19.87     0.02                             b2PulleyJoint::SolvePositionConstraints(b2SolverData const&)
  0.10     19.89     0.02                             b2DistanceOutput::b2DistanceOutput()
  0.10     19.91     0.02                             b2StackAllocator::Free(void*)
  0.10     19.93     0.02                             cs296::base_sim_t::keyboard(unsigned char)
  0.10     19.95     0.02                             b2Contact::SetEnabled(bool)
  0.10     19.97     0.02                             b2Simplex::Solve2()
  0.10     19.99     0.02                             b2Simplex::Solve3()
  0.10     20.01     0.02                             b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  0.10     20.03     0.02                             b2Body::ShouldCollide(b2Body const*) const
  0.10     20.05     0.02                             b2Simplex::GetMetric() const
  0.07     20.07     0.01                             _GLOBAL__sub_I_b2_defaultFilter
  0.07     20.08     0.01                             b2Body::GetType() const
  0.07     20.09     0.01                             b2Simplex::GetClosestPoint() const
  0.05     20.11     0.01  1311388     0.01     0.01  b2Body::SetAwake(bool)
  0.05     20.11     0.01                             b2DistanceSquared(b2Vec2 const&, b2Vec2 const&)
  0.05     20.12     0.01                             b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int)
  0.05     20.14     0.01                             b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&)
  0.05     20.14     0.01                             b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&)
  0.05     20.16     0.01                             b2ContactSolver::StoreImpulses()
  0.05     20.16     0.01                             b2DistanceInput::b2DistanceInput()
  0.05     20.18     0.01                             b2ContactManager::AddPair(void*, void*)
  0.05     20.18     0.01                             b2Rot::b2Rot()
  0.05     20.20     0.01                             b2Body::GetFixtureList()
  0.05     20.20     0.01                             b2Body::SynchronizeTransform()
  0.05     20.21     0.01                             b2Body::Advance(float)
  0.05     20.23     0.01                             b2Island::Add(b2Body*)
  0.05     20.23     0.01                             b2Island::Add(b2Joint*)
  0.05     20.25     0.01                             b2Island::Clear()
  0.05     20.25     0.01                             b2Island::Report(b2ContactVelocityConstraint const*)
  0.05     20.27     0.01                             b2Simplex::b2Simplex()
  0.05     20.27     0.01                             b2EdgeShape::ComputeMass(b2MassData*, float) const
  0.05     20.29     0.01                             b2DynamicTree::GetFatAABB(int) const
  0.05     20.30     0.01                             b2SeparationFunction::Evaluate(int, int, float) const
  0.05     20.30     0.01                             b2AABB::Contains(b2AABB const&) const
  0.05     20.32     0.01                             b2Body::IsActive() const
  0.05     20.32     0.01                             b2Vec2::IsValid() const
  0.05     20.34     0.01                             b2Contact::IsTouching() const
  0.05     20.34     0.01                             void std::__insertion_sort<b2Pair*, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, bool (*)(b2Pair const&, b2Pair const&))
  0.05     20.36     0.01                             b2Pair* std::__unguarded_partition<b2Pair*, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, b2Pair const&, bool (*)(b2Pair const&, b2Pair const&))
  0.02     20.36     0.01  1169255     0.00     0.00  b2Contact::GetManifold()
  0.02     20.36     0.01    40000     0.12     0.12  b2World::GetProfile() const
  0.02     20.37     0.01                             float b2Abs<float>(float)
  0.02     20.38     0.01                             b2PulleyJoint::~b2PulleyJoint()
  0.02     20.38     0.01                             b2ContactFilter::ShouldCollide(b2Fixture*, b2Fixture*)
  0.02     20.39     0.01                             b2RevoluteJoint::Dump()
  0.02     20.39     0.01                             b2Body::GetContactList()
  0.02     20.39     0.01                             b2Body::GetNext()
  0.02     20.40     0.01                             b2Body::SetActive(bool)
  0.02     20.41     0.01                             b2Vec3::operator*=(float)
  0.02     20.41     0.01                             b2Vec3::operator+=(b2Vec3 const&)
  0.02     20.41     0.01                             b2Mat22::SetZero()
  0.02     20.42     0.01                             b2PolygonShape::ComputeMass(b2MassData*, float) const
  0.02     20.43     0.01                             b2Contact::GetWorldManifold(b2WorldManifold*) const
  0.02     20.43     0.01                             b2Fixture::GetFilterData() const
  0.00     20.43     0.00   448284     0.00     0.00  b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*)
  0.00     20.43     0.00   448263     0.00     0.00  b2ContactListener::PreSolve(b2Contact*, b2Manifold const*)
  0.00     20.43     0.00    38810     0.00     0.00  b2ContactListener::BeginContact(b2Contact*)
  0.00     20.43     0.00    38729     0.00     0.00  b2ContactListener::EndContact(b2Contact*)
  0.00     20.43     0.00     2048     0.00     0.01  cs296::contact_point_t::contact_point_t()
  0.00     20.43     0.00      180     0.00     0.00  b2Shape::b2Shape()
  0.00     20.43     0.00      166     0.00     0.00  b2Filter::b2Filter()
  0.00     20.43     0.00      136     0.00     0.08  b2PolygonShape::b2PolygonShape()
  0.00     20.43     0.00      102     0.00     0.13  b2BodyDef::b2BodyDef()
  0.00     20.43     0.00       84     0.00     0.00  b2Body::GetAngle() const
  0.00     20.43     0.00       52     0.00     0.00  b2Shape::~b2Shape()
  0.00     20.43     0.00       51     0.00     0.00  b2FixtureDef::b2FixtureDef()
  0.00     20.43     0.00       38     0.00     0.02  b2CircleShape::b2CircleShape()
  0.00     20.43     0.00       33     0.00     0.00  b2PolygonShape::~b2PolygonShape()
  0.00     20.43     0.00       18     0.00     0.00  b2JointDef::b2JointDef()
  0.00     20.43     0.00       16     0.00     0.00  b2CircleShape::~b2CircleShape()
  0.00     20.43     0.00       16     0.00     0.13  b2RevoluteJointDef::b2RevoluteJointDef()
  0.00     20.43     0.00        6     0.00     0.01  b2EdgeShape::b2EdgeShape()
  0.00     20.43     0.00        4     0.00     0.02  b2Body::SetLinearVelocity(b2Vec2 const&)
  0.00     20.43     0.00        4     0.00     0.00  b2Body::GetWorldCenter() const
  0.00     20.43     0.00        3     0.00     0.00  b2EdgeShape::~b2EdgeShape()
  0.00     20.43     0.00        3     0.00     0.00  b2Body::SetGravityScale(float)
  0.00     20.43     0.00        3     0.00     0.01  b2Body::SetAngularVelocity(float)
  0.00     20.43     0.00        2     0.00     0.25  b2PulleyJointDef::b2PulleyJointDef()
  0.00     20.43     0.00        2     0.00     0.00  b2ContactListener::b2ContactListener()
  0.00     20.43     0.00        2     0.00     0.06  Ball::renderAtBodyPosition()
  0.00     20.43     0.00        2     0.00     0.06  Ball::render()
  0.00     20.43     0.00        2     0.00     0.27  Ball::Ball(b2World*, float, float, float, float)
  0.00     20.43     0.00        2     0.00     0.00  Ball::~Ball()
  0.00     20.43     0.00        2     0.00     0.00  b2Body::GetPosition() const
  0.00     20.43     0.00        2     0.00     0.00  b2Body::GetLinearVelocity() const
  0.00     20.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z14create_glui_uiv
  0.00     20.43     0.00        1     0.00     0.02  _GLOBAL__sub_I__ZN5cs29610test_indexE
  0.00     20.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs2969dominos_tC2Ev
  0.00     20.43     0.00        1     0.00     0.02  __static_initialization_and_destruction_0(int, int)
  0.00     20.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     20.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     20.43     0.00        1     0.00     0.00  debug_draw_t::debug_draw_t()
  0.00     20.43     0.00        1     0.00     0.00  cs296::base_sim_t::get_world()
  0.00     20.43     0.00        1     0.00    14.64  cs296::base_sim_t::base_sim_t()
  0.00     20.43     0.00        1     0.00     0.01  cs296::settings_t::settings_t()
  0.00     20.43     0.00        1     0.00     0.00  cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)())
  0.00     20.43     0.00        1     0.00    42.83  cs296::dominos_t::create()
  0.00     20.43     0.00        1     0.00    42.83  cs296::dominos_t::dominos_t()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.05% of 20.43 seconds

index % time    self  children    called     name
                0.00    0.00       1/260261481     cs296::settings_t::settings_t() [224]
                0.00    0.00       1/260261481     __static_initialization_and_destruction_0(int, int) [225]
                0.00    0.00       1/260261481     ComputeCentroid(b2Vec2 const*, int) [207]
                0.00    0.00       3/260261481     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [212]
                0.00    0.00      56/260261481     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [6]
                0.00    0.00      63/260261481     cs296::dominos_t::dominos_t() [191]
                0.00    0.00      85/260261481     b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00     115/260261481     b2DynamicTree::CreateProxy(b2AABB const&, void*) [199]
                0.00    0.00   13742/260261481     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [156]
                0.00    0.00   21435/260261481     b2EPCollider::ComputePolygonSeparation() [131]
                0.00    0.00  137907/260261481     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [92]
                0.00    0.00  146520/260261481     b2ContactSolver::SolveVelocityConstraints() [2]
                0.00    0.00  293040/260261481     b2Mul(b2Mat22 const&, b2Vec2 const&) [174]
                0.01    0.00  453190/260261481     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [40]
                0.01    0.00  759691/260261481     b2MulT(b2Transform const&, b2Vec2 const&) [110]
                0.02    0.00 1384848/260261481     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [30]
                0.06    0.00 4761304/260261481     b2Cross(b2Vec2 const&, float) [58]
                0.09    0.00 7393369/260261481     b2MulT(b2Rot const&, b2Vec2 const&) [36]
                0.13    0.00 10467808/260261481     b2Min(b2Vec2 const&, b2Vec2 const&) [16]
                0.13    0.00 10467808/260261481     b2Max(b2Vec2 const&, b2Vec2 const&) [10]
                0.23    0.00 19275897/260261481     b2Mul(b2Rot const&, b2Vec2 const&) [18]
                0.28    0.00 23069590/260261481     b2Mul(b2Transform const&, b2Vec2 const&) [8]
                0.29    0.00 23781569/260261481     b2Cross(float, b2Vec2 const&) [14]
                0.31    0.00 25385185/260261481     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.72    0.00 59700628/260261481     operator*(float, b2Vec2 const&) [4]
                0.88    0.00 72747625/260261481     operator-(b2Vec2 const&, b2Vec2 const&) [3]
[1]     15.4    3.15    0.00 260261481         b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[2]     10.1    0.75    1.32                 b2ContactSolver::SolveVelocityConstraints() [2]
                0.31    0.27 22093636/59700628     operator*(float, b2Vec2 const&) [4]
                0.20    0.18 15075169/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.12    0.09 7753586/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.10    0.00 7465584/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.04    0.00 3439752/31160989     float b2Max<float>(float, float) [21]
                0.00    0.00  146520/260261481     b2Vec2::b2Vec2(float, float) [1]
                0.00    0.00  146520/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00       3/72747625     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [212]
                0.00    0.00       3/72747625     b2PolygonShape::Set(b2Vec2 const*, int) [217]
                0.00    0.00       4/72747625     b2PulleyJointDef::Initialize(b2Body*, b2Body*, b2Vec2 const&, b2Vec2 const&, b2Vec2 const&, b2Vec2 const&, float) [210]
                0.00    0.00       6/72747625     ComputeCentroid(b2Vec2 const*, int) [207]
                0.00    0.00      91/72747625     b2Body::ResetMassData() [196]
                0.00    0.00     115/72747625     b2DynamicTree::CreateProxy(b2AABB const&, void*) [199]
                0.00    0.00     116/72747625     b2Simplex::GetMetric() const [118]
                0.00    0.00     680/72747625     b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00   15750/72747625     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [130]
                0.00    0.00   22243/72747625     b2MulT(b2Transform const&, b2Transform const&) [184]
                0.00    0.00   27631/72747625     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [173]
                0.00    0.00   35944/72747625     b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [176]
                0.00    0.00   80000/72747625     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [154]
                0.00    0.00   83190/72747625     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [156]
                0.00    0.00   87120/72747625     b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [112]
                0.00    0.00   88972/72747625     b2EPCollider::ComputeEdgeSeparation() [175]
                0.00    0.00  104020/72747625     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.00    0.00  137907/72747625     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [92]
                0.00    0.00  245925/72747625     b2Simplex::Solve3() [103]
                0.00    0.00  256430/72747625     b2EPCollider::ComputePolygonSeparation() [131]
                0.00    0.00  302551/72747625     b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [116]
                0.00    0.00  348717/72747625     b2Body::Advance(float) [125]
                0.01    0.01  414212/72747625     b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [61]
                0.01    0.01  450737/72747625     b2Simplex::GetSearchDirection() const [93]
                0.01    0.01  524302/72747625     b2SeparationFunction::Evaluate(int, int, float) const [105]
                0.01    0.01  761052/72747625     b2Body::SynchronizeFixtures() [94]
                0.01    0.01  792581/72747625     b2Simplex::Solve2() [77]
                0.01    0.01  841958/72747625     b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [53]
                0.01    0.01  906380/72747625     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [40]
                0.01    0.01  907466/72747625     b2SeparationFunction::FindMinSeparation(int*, int*, float) const [71]
                0.01    0.01  933956/72747625     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [50]
                0.01    0.01 1005509/72747625     b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&) [47]
                0.01    0.01 1006347/72747625     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [62]
                0.01    0.01 1071037/72747625     b2Body::SynchronizeTransform() [100]
                0.02    0.02 1242693/72747625     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [49]
                0.02    0.02 1331963/72747625     b2EdgeSeparation(b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [27]
                0.02    0.02 1374271/72747625     b2Distance(b2Vec2 const&, b2Vec2 const&) [56]
                0.02    0.02 1384848/72747625     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [30]
                0.02    0.02 1690671/72747625     b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [22]
                0.03    0.02 1996352/72747625     b2ContactSolver::SolveTOIPositionConstraints(int, int) [39]
                0.04    0.03 2764480/72747625     b2ContactSolver::InitializeVelocityConstraints() [31]
                0.04    0.03 2838276/72747625     b2ContactSolver::SolvePositionConstraints() [32]
                0.06    0.06 4673263/72747625     b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [25]
                0.06    0.06 4693060/72747625     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [17]
                0.10    0.09 7251040/72747625     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [6]
                0.20    0.18 14978584/72747625     b2TestOverlap(b2AABB const&, b2AABB const&) [13]
                0.20    0.18 15075169/72747625     b2ContactSolver::SolveVelocityConstraints() [2]
[3]      9.1    0.97    0.88 72747625         operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.88    0.00 72747625/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                0.00    0.00       3/59700628     ComputeCentroid(b2Vec2 const*, int) [207]
                0.00    0.00     103/59700628     b2Body::ResetMassData() [196]
                0.00    0.00     340/59700628     b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00   15750/59700628     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [130]
                0.00    0.00   27631/59700628     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [173]
                0.00    0.00   34036/59700628     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [49]
                0.00    0.00   51369/59700628     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [156]
                0.00    0.00   80000/59700628     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [154]
                0.00    0.00  104020/59700628     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.00    0.00  137907/59700628     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [92]
                0.00    0.00  203028/59700628     b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [25]
                0.00    0.00  274679/59700628     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [62]
                0.01    0.01  640000/59700628     b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [84]
                0.01    0.01  696614/59700628     b2Island::SolveTOI(b2TimeStep const&, int, int) [63]
                0.01    0.01  698196/59700628     b2Sweep::Advance(float) [111]
                0.01    0.01  906380/59700628     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [40]
                0.02    0.01 1090810/59700628     b2Simplex::GetClosestPoint() const [86]
                0.02    0.01 1152204/59700628     b2ContactSolver::WarmStart() [70]
                0.02    0.02 1400934/59700628     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [50]
